"","dates","Days","EVI","Cases","Index","pvs","pvn","lag_all","c_all","se_all","sp_all","name"
"56989",18370,88,-0.0157411800909845,1039.42857142857,0,0.938775510204082,0.46875,17,0.01,0.73015873015873,0.833333333333333,"India"
"56990",18371,89,0.0348403511263724,1201.42857142857,1,0.94,0.46875,17,0.01,0.734375,0.833333333333333,"India"
"56991",18372,90,-0.0364929901214507,1155.14285714286,0,0.941176470588235,0.46875,17,0.01,0.738461538461539,0.833333333333333,"India"
"56992",18373,91,-0.0297048663222494,1227.57142857143,0,0.942307692307692,0.46875,17,0.01,0.742424242424242,0.833333333333333,"India"
"56993",18374,92,-0.0209264821168548,1292.57142857143,0,0.943396226415094,0.46875,17,0.01,0.746268656716418,0.833333333333333,"India"
"56994",18375,93,-0.00838075362710255,1378.14285714286,0,0.944444444444445,0.46875,19,0.01,0.75,0.833333333333333,"India"
"56995",18376,94,-0.00155249658814958,1454,0,0.945454545454546,0.46875,21,0.01,0.753623188405797,0.833333333333333,"India"
"56996",18377,95,-0.00194351295774315,1508.71428571429,0,0.946428571428572,0.46875,21,0.01,0.757142857142857,0.833333333333333,"India"
"56997",18378,96,-0.0234769146650936,1467.85714285714,0,0.947368421052632,0.46875,21,0.01,0.76056338028169,0.833333333333333,"India"
"56998",18379,97,0.00894154379140571,1558.85714285714,0,0.947368421052632,0.454545454545454,21,0.01,0.75,0.833333333333333,"India"
"56999",18380,98,0.00551863191089954,1606.28571428571,0,0.948275862068966,0.454545454545455,30,0.01,0.753424657534247,0.833333333333333,"India"
"57000",18381,99,0.00304209352520283,1670.28571428571,0,0.949152542372881,0.454545454545455,30,0.01,0.756756756756757,0.833333333333333,"India"
"57001",18382,100,-0.00623338864655486,1683.71428571429,0,0.95,0.454545454545455,30,0.01,0.76,0.833333333333333,"India"
"57002",18383,101,0.00598171804665042,1818.14285714286,0,0.950819672131148,0.454545454545455,30,0.01,0.763157894736842,0.833333333333333,"India"
"57003",18384,102,0.0133752663192738,1916.57142857143,1,0.951612903225806,0.454545454545455,30,0.01,0.766233766233766,0.833333333333333,"India"
"57004",18385,103,0.0194011771675379,2087.85714285714,1,0.952380952380952,0.454545454545455,30,0.01,0.769230769230769,0.833333333333333,"India"
"57005",18386,104,0.0615345461142841,2426.57142857143,1,0.953125,0.454545454545455,30,0.01,0.772151898734177,0.833333333333333,"India"
"57006",18387,105,0.0676687210574622,2582.28571428571,1,0.953125,0.441176470588235,30,0.01,0.7625,0.833333333333333,"India"
"57007",18388,106,0.0941008688187747,2846.42857142857,1,0.953125,0.428571428571429,30,0.01,0.753086419753086,0.833333333333333,"India"
"57008",18389,107,0.0975435795521096,3069.71428571429,1,0.953125,0.416666666666667,30,0.01,0.74390243902439,0.833333333333333,"India"
"57009",18390,108,0.0823500049145634,3205.42857142857,1,0.953125,0.405405405405406,30,0.01,0.734939759036145,0.833333333333333,"India"
"57010",18391,109,0.0683435283165108,3301.28571428571,1,0.953846153846154,0.405405405405405,30,0.01,0.738095238095238,0.833333333333333,"India"
