"","dates","Days","EVI","Cases","Index","pvs","pvn","lag_all","c_all","se_all","sp_all","name"
"120782",18379,97,-0.0455247576797078,213.285714285714,0,1,0.293103448275862,7,0.02,0.438356164383562,1,"South Africa"
"120783",18380,98,-0.181514805756323,218.714285714286,0,1,0.288135593220339,7,0.02,0.432432432432432,1,"South Africa"
"120784",18381,99,0.00631544952400498,245,0,1,0.283333333333333,7,0.02,0.426666666666667,1,"South Africa"
"120785",18382,100,0.103184438131458,242,1,1,0.283333333333333,7,0.02,0.434210526315789,1,"South Africa"
"120786",18383,101,0.108843935371708,247.285714285714,1,1,0.283333333333333,7,0.02,0.441558441558442,1,"South Africa"
"120787",18384,102,0.187078704338678,282.142857142857,1,1,0.278688524590164,7,0.02,0.435897435897436,1,"South Africa"
"120788",18385,103,0.338255596959274,319.571428571429,1,1,0.274193548387097,7,0.02,0.430379746835443,1,"South Africa"
"120789",18386,104,0.256551496992732,346.714285714286,1,1,0.26984126984127,7,0.02,0.425,1,"South Africa"
"120790",18387,105,0.119611271082962,368,1,1,0.265625,7,0.02,0.419753086419753,1,"South Africa"
"120791",18388,106,-0.0161826907145054,351.142857142857,0,1,0.261538461538462,7,0.02,0.414634146341463,1,"South Africa"
"120792",18389,107,-0.0979936910845062,369.285714285714,0,1,0.261538461538462,7,0.02,0.421686746987952,1,"South Africa"
"120793",18390,108,-0.0662753839519191,420.571428571429,0,1,0.261538461538462,7,0.02,0.428571428571429,1,"South Africa"
"120794",18391,109,-0.014525455715115,440.571428571429,0,1,0.261538461538461,7,0.02,0.435294117647059,1,"South Africa"
"120795",18392,110,0.0851023692351635,461.714285714286,1,1,0.261538461538462,7,0.02,0.441860465116279,1,"South Africa"
"120796",18393,111,0.148506386354912,490.285714285714,1,1,0.261538461538461,7,0.02,0.448275862068966,1,"South Africa"
"120797",18394,112,0.244993096443236,539.714285714286,1,1,0.261538461538461,7,0.02,0.454545454545455,1,"South Africa"
"120798",18395,113,0.203857918900069,609.428571428571,1,1,0.257575757575758,7,0.02,0.449438202247191,1,"South Africa"
"120799",18396,114,0.0767148408586081,643.857142857143,1,1,0.253731343283582,7,0.02,0.444444444444444,1,"South Africa"
"120800",18397,115,0.045802914755439,661.285714285714,1,1,0.25,7,0.02,0.43956043956044,1,"South Africa"
"120801",18398,116,0.0235869705827894,705,1,1,0.246376811594203,7,0.02,0.434782608695652,1,"South Africa"
"120802",18399,117,0.0817010983868835,785.714285714286,1,1,0.246376811594203,7,0.02,0.440860215053763,1,"South Africa"
"120803",18400,118,0.0027797455648697,825.857142857143,0,1,0.246376811594203,7,0.02,0.446808510638298,1,"South Africa"
"120804",18401,119,-0.0776956181846318,835.714285714286,0,1,0.246376811594203,7,0.02,0.452631578947368,1,"South Africa"
"120805",18402,120,-0.0610949333327836,847,0,1,0.246376811594203,7,0.02,0.458333333333333,1,"South Africa"
"120806",18403,121,0.0112051457978706,914,0,1,0.246376811594203,7,0.02,0.463917525773196,1,"South Africa"
"120807",18404,122,-0.0931106058627473,943,0,1,0.246376811594203,7,0.02,0.469387755102041,1,"South Africa"
"120808",18405,123,-0.0474838681996081,998.285714285714,0,1,0.246376811594203,7,0.02,0.474747474747475,1,"South Africa"
"120809",18406,124,0.0209077985059746,1009.71428571429,1,1,0.246376811594203,7,0.02,0.48,1,"South Africa"
"120810",18407,125,0.00632463796752059,1026,0,1,0.242857142857143,7,0.02,0.475247524752475,1,"South Africa"
"120811",18408,126,-0.152130853914605,1009.14285714286,0,1,0.23943661971831,7,0.02,0.470588235294118,1,"South Africa"
"120812",18409,127,0.0633060746812927,1133.42857142857,1,1,0.236111111111111,7,0.02,0.466019417475728,1,"South Africa"
"120813",18410,128,0.196521049355606,1180.85714285714,1,1,0.232876712328767,7,0.02,0.461538461538462,1,"South Africa"
"120814",18411,129,0.389103432822298,1302.14285714286,1,1,0.22972972972973,7,0.02,0.457142857142857,1,"South Africa"
"120815",18412,130,0.269739241496929,1374.85714285714,1,1,0.226666666666667,7,0.02,0.452830188679245,1,"South Africa"
"120816",18413,131,0.147103692939949,1442.85714285714,1,1,0.226666666666667,7,0.02,0.457943925233645,1,"South Africa"
"120817",18414,132,0.0967393535960471,1534.57142857143,1,1,0.223684210526316,7,0.02,0.453703703703704,1,"South Africa"
"120818",18415,133,0.00349361279667903,1649.71428571429,0,1,0.220779220779221,7,0.02,0.44954128440367,1,"South Africa"
"120819",18416,134,-0.04363946252072,1655.42857142857,0,1,0.220779220779221,7,0.02,0.454545454545455,1,"South Africa"
"120820",18417,135,0.16399349808269,1912.71428571429,1,1,0.220779220779221,7,0.02,0.459459459459459,1,"South Africa"
"120821",18418,136,0.157217585358677,2027.71428571429,1,1,0.220779220779221,7,0.02,0.464285714285714,1,"South Africa"
"120822",18419,137,0.101310333745615,2143.71428571429,1,1,0.220779220779221,7,0.02,0.469026548672566,1,"South Africa"
"120823",18420,138,0.0243194488512155,2228.85714285714,1,1,0.220779220779221,7,0.02,0.473684210526316,1,"South Africa"
"120824",18421,139,0.0177765798761578,2360.28571428571,0,1,0.220779220779221,7,0.02,0.478260869565217,1,"South Africa"
"120825",18422,140,-0.00436235166809099,2454.14285714286,0,1,0.217948717948718,7,0.02,0.474137931034483,1,"South Africa"
"120826",18423,141,-0.152664215994602,2556.57142857143,0,1,0.215189873417722,7,0.02,0.47008547008547,1,"South Africa"
"120827",18424,142,-0.122853626206568,2539.42857142857,0,1,0.215189873417722,7,0.02,0.474576271186441,1,"South Africa"
"120828",18425,143,-0.10233566249137,2641.85714285714,0,1,0.215189873417722,7,0.02,0.478991596638655,1,"South Africa"
"120829",18426,144,0.0566607395187044,2823.28571428571,1,1,0.215189873417722,7,0.02,0.483333333333333,1,"South Africa"
"120830",18427,145,0.309021018402954,3107.57142857143,1,1,0.215189873417721,7,0.02,0.487603305785124,1,"South Africa"
"120831",18428,146,0.198680930455665,3236.28571428571,1,1,0.2125,7,0.02,0.483606557377049,1,"South Africa"
"120832",18429,147,0.100696524192855,3334.71428571429,1,1,0.209876543209877,7,0.02,0.479674796747967,1,"South Africa"
"120833",18430,148,0.141699311332335,3570.14285714286,1,1,0.207317073170732,7,0.02,0.475806451612903,1,"South Africa"
"120834",18431,149,-0.0441921159975748,3617.42857142857,0,1,0.204819277108434,7,0.02,0.472,1,"South Africa"
"120835",18432,150,-0.144206507685456,3684,0,1,0.202380952380952,7,0.02,0.468253968253968,1,"South Africa"
"120836",18433,151,-0.14505551351683,3849.28571428571,0,1,0.202380952380952,7,0.02,0.47244094488189,1,"South Africa"
"120837",18434,152,-0.07857433046792,3894.85714285714,0,1,0.202380952380952,7,0.02,0.4765625,1,"South Africa"
"120838",18435,153,-0.0688865912252739,4008.14285714286,0,1,0.202380952380952,7,0.02,0.48062015503876,1,"South Africa"
"120839",18436,154,0.057464549186492,4253.42857142857,1,1,0.202380952380952,7,0.02,0.484615384615385,1,"South Africa"
"120840",18437,155,0.279929299561302,4483.42857142857,1,1,0.202380952380952,7,0.02,0.488549618320611,1,"South Africa"
"120841",18438,156,0.397877247610398,4926.42857142857,1,1,0.2,7,0.02,0.484848484848485,1,"South Africa"
"120842",18439,157,0.258292329589627,5267.85714285714,1,1,0.197674418604651,7,0.02,0.481203007518797,1,"South Africa"
"120843",18440,158,0.189740825882894,5588.42857142857,1,1,0.195402298850575,7,0.02,0.477611940298507,1,"South Africa"
"120844",18441,159,0.070122913916645,5833.14285714286,1,1,0.193181818181818,7,0.02,0.474074074074074,1,"South Africa"
"120845",18442,160,-0.00411067183619229,6096.28571428571,0,1,0.191011235955056,7,0.02,0.470588235294118,1,"South Africa"
"120846",18443,161,-0.0117603743262936,6443,0,1,0.191011235955056,7,0.02,0.474452554744526,1,"South Africa"
"120847",18444,162,-0.0401999854519398,6791,0,1,0.191011235955056,7,0.02,0.478260869565217,1,"South Africa"
"120848",18445,163,0.00647505418868612,7098,0,1,0.191011235955056,7,0.02,0.482014388489209,1,"South Africa"
"120849",18446,164,0.0561671353926861,7504.85714285714,1,1,0.191011235955056,7,0.02,0.485714285714286,1,"South Africa"
"120850",18447,165,0.121993120708922,8025.28571428571,1,1,0.191011235955056,7,0.02,0.48936170212766,1,"South Africa"
"120851",18448,166,0.0639873585797393,8373.71428571429,1,1,0.191011235955056,7,0.02,0.492957746478873,1,"South Africa"
"120852",18449,167,0.0358051333301923,8779.57142857143,1,1,0.188888888888889,7,0.02,0.48951048951049,1,"South Africa"
"120853",18450,168,0.0408560420884481,9235.14285714286,1,1,0.186813186813187,7,0.02,0.486111111111111,1,"South Africa"
"120854",18451,169,-0.050104712701716,9333.14285714286,0,1,0.184782608695652,7,0.02,0.482758620689655,1,"South Africa"
"120855",18452,170,0.015578919660395,10039.7142857143,0,1,0.182795698924731,7,0.02,0.479452054794521,1,"South Africa"
"120856",18453,171,0.0242617978146984,10509,1,1,0.182795698924731,7,0.02,0.482993197278912,1,"South Africa"
"120857",18454,172,0.0399205181833133,10886.7142857143,1,1,0.182795698924731,7,0.02,0.486486486486487,1,"South Africa"
"120858",18455,173,0.033632307241787,11356,1,1,0.182795698924731,7,0.02,0.48993288590604,1,"South Africa"
"120859",18456,174,0.0119242778491593,11725,0,1,0.182795698924731,7,0.02,0.493333333333333,1,"South Africa"
"120860",18457,175,-0.0549378569905305,11776.7142857143,0,1,0.182795698924731,7,0.02,0.496688741721854,1,"South Africa"
"120861",18458,176,-0.117519427619252,12340.5714285714,0,1,0.180851063829787,7,0.02,0.493421052631579,1,"South Africa"
"120862",18459,177,-0.149210257517762,12268.8571428571,0,1,0.178947368421053,7,0.02,0.490196078431373,1,"South Africa"
"120863",18460,178,-0.168849065390069,12415.2857142857,0,1,0.178947368421053,7,0.02,0.493506493506494,1,"South Africa"
"120864",18461,179,-0.265138992652575,12385,0,1,0.178947368421053,7,0.02,0.496774193548387,1,"South Africa"
"120865",18462,180,-0.205505884789464,12583.7142857143,0,1,0.178947368421053,7,0.02,0.5,1,"South Africa"
"120866",18463,181,-0.24054410227363,12261.7142857143,0,1,0.1875,7,0.02,0.5,1,"South Africa"
"120867",18464,182,-0.20114264218476,11929.4285714286,0,1,0.195876288659794,7,0.02,0.5,1,"South Africa"
"120868",18465,183,0.167774134403041,11985.5714285714,0,1,0.204081632653061,7,0.02,0.5,1,"South Africa"
"120869",18466,184,0.100092085783994,11975.8571428571,0,1,0.212121212121212,7,0.02,0.5,1,"South Africa"
"120870",18467,185,-0.0388488451210274,12057.4285714286,0,1,0.22,7,0.02,0.5,1,"South Africa"
"120871",18468,186,-0.0132378306954197,11903,0,1,0.227722772277228,7,0.02,0.5,1,"South Africa"
"120872",18469,187,-0.172963771092145,11586.4285714286,0,1,0.235294117647059,7,0.02,0.5,1,"South Africa"
"120873",18470,188,0.402510403882264,11271.5714285714,0,1,0.242718446601942,7,0.02,0.5,1,"South Africa"
"120874",18471,189,0.319426814230764,11137.5714285714,0,1,0.25,7,0.02,0.5,1,"South Africa"
"120875",18472,190,0.224368014710815,10882.1428571429,0,1,0.257142857142857,7,0.02,0.5,1,"South Africa"
"120876",18473,191,0.166690104009162,10588.1428571429,0,1,0.264150943396226,7,0.02,0.5,1,"South Africa"
"120877",18474,192,0.103010775946875,10169.5714285714,0,1,0.271028037383177,7,0.02,0.5,1,"South Africa"
"120878",18475,193,0.193180159331158,9870,0,0.963144963144963,0.311572700296736,19,0.02,0.628205128205128,0.875,"South Africa"
"120879",18476,194,0.187044870050522,9436,0,0.963429020841526,0.319887429643527,19,0.02,0.628205128205128,0.88,"South Africa"
"120880",18477,195,0.127010739125134,9190.42857142857,0,0.963691376701967,0.327985739750446,19,0.02,0.628205128205128,0.884615384615385,"South Africa"
"120881",18478,196,0.141087279488146,8793.85714285714,0,0.955102040816327,0.350901525658807,21,0.01,0.666666666666667,0.851851851851852,"South Africa"
"120882",18479,197,0.111939038198688,8393.42857142857,0,0.955380577427821,0.359154929577465,21,0.01,0.666666666666667,0.857142857142857,"South Africa"
"120883",18480,198,0.102576310410342,8002.14285714286,0,0.955640050697085,0.36718422156945,21,0.01,0.666666666666667,0.862068965517241,"South Africa"
"120884",18481,199,0.0951010654549896,7470.42857142857,0,0.955882352941176,0.375,21,0.01,0.666666666666667,0.866666666666667,"South Africa"
"120885",18482,200,0.0791845888781044,7128.28571428571,0,0.956109134045077,0.382612026043661,21,0.01,0.666666666666667,0.870967741935484,"South Africa"
"120886",18483,201,0.0504514348419128,6910.57142857143,0,0.95632183908046,0.390029325513196,21,0.01,0.666666666666667,0.875,"South Africa"
"120887",18484,202,0.0459607584586171,6676.57142857143,0,0.956521739130435,0.397260273972603,21,0.01,0.666666666666667,0.878787878787879,"South Africa"
"120888",18485,203,0.0447516978565178,6398.71428571429,0,0.956709956709957,0.404312668463612,21,0.01,0.666666666666667,0.882352941176471,"South Africa"
"120889",18486,204,0.0552931351898906,5577.42857142857,0,0.956887486855941,0.411193788417988,21,0.01,0.666666666666667,0.885714285714286,"South Africa"
"120890",18487,205,0.0541594295844982,4954.42857142857,0,0.957055214723926,0.417910447761194,21,0.01,0.666666666666667,0.888888888888889,"South Africa"
"120891",18488,206,0.0276638201490584,4809.14285714286,0,0.957213930348259,0.424469039784625,21,0.01,0.666666666666667,0.891891891891892,"South Africa"
"120892",18489,207,0.0238500115431858,4352.14285714286,0,0.957364341085271,0.430875576036866,21,0.01,0.666666666666667,0.894736842105263,"South Africa"
"120893",18490,208,0.0237267971880836,3926.57142857143,0,0.957507082152975,0.437135720233139,21,0.01,0.666666666666667,0.897435897435897,"South Africa"
"120894",18491,209,0.014260793419927,3755.42857142857,0,0.957642725598527,0.443254817987152,21,0.01,0.666666666666667,0.9,"South Africa"
"120895",18492,210,-0.00402880717401687,3719.28571428571,0,0.957771787960467,0.449237923017308,21,0.01,0.666666666666667,0.902439024390244,"South Africa"
"120896",18493,211,-0.0225408688438817,3877.28571428571,0,0.957894736842105,0.455089820359281,21,0.01,0.666666666666667,0.904761904761905,"South Africa"
"120897",18494,212,-0.0339677359553955,3867.85714285714,0,0.958011996572408,0.460815047021943,21,0.01,0.666666666666667,0.906976744186046,"South Africa"
"120898",18495,213,-0.0297912365405049,3456.85714285714,0,0.958123953098828,0.466417910447761,21,0.01,0.666666666666667,0.909090909090909,"South Africa"
"120899",18496,214,-0.0385701299615591,3341.71428571429,0,0.958230958230958,0.47190250507786,21,0.01,0.666666666666667,0.911111111111111,"South Africa"
"120900",18497,215,-0.0412038795328803,3204,0,0.958333333333333,0.477272727272727,21,0.01,0.666666666666667,0.91304347826087,"South Africa"
"120901",18498,216,-0.0528095537385146,3080.57142857143,0,0.95843137254902,0.482532288799492,21,0.01,0.666666666666667,0.914893617021277,"South Africa"
"120902",18499,217,-0.0592084757007145,2981.85714285714,0,0.95852534562212,0.487684729064039,21,0.01,0.666666666666667,0.916666666666667,"South Africa"
"120903",18500,218,-0.0629050993487086,2805.85714285714,0,0.958615500376223,0.492733426239299,21,0.01,0.666666666666667,0.918367346938776,"South Africa"
"120904",18501,219,-0.0664142123008496,2620.85714285714,0,0.958702064896755,0.497681607418856,21,0.01,0.666666666666667,0.92,"South Africa"
"120905",18502,220,-0.0577154052625958,2399.14285714286,0,0.958785249457701,0.502532357906584,21,0.01,0.666666666666667,0.92156862745098,"South Africa"
"120906",18503,221,-0.0600683236661138,2215.14285714286,0,0.95886524822695,0.507288629737609,21,0.01,0.666666666666667,0.923076923076923,"South Africa"
"120907",18504,222,-0.0796495382028522,2183.28571428571,0,0.958942240779401,0.511953249513016,21,0.01,0.666666666666667,0.924528301886792,"South Africa"
"120908",18505,223,-0.107853724431496,2227.28571428571,0,0.959016393442623,0.516528925619835,21,0.01,0.666666666666667,0.925925925925926,"South Africa"
"120909",18506,224,-0.138191443060718,2177.42857142857,0,0.959087860496311,0.521018254898677,21,0.01,0.666666666666667,0.927272727272727,"South Africa"
"120910",18507,225,-0.10081382699585,2127.71428571429,0,0.959156785243742,0.525423728813559,21,0.01,0.666666666666667,0.928571428571429,"South Africa"
"120911",18508,226,-0.0680587235446641,2104.14285714286,0,0.959223300970874,0.529747739171823,21,0.01,0.666666666666667,0.929824561403509,"South Africa"
"120912",18509,227,-0.089936103088783,2135.14285714286,0,0.959287531806616,0.533992583436341,21,0.01,0.666666666666667,0.931034482758621,"South Africa"
