"","dates","Days","EVI","Cases","Index","pvs","pvn","lag_all","c_all","se_all","sp_all","name"
"46287",19049,767,-0.0762827490368887,61855.8571428571,0,0.74857527004935,0.85395347235969,21,0.01,0.742753623188406,0.857740585774059,"France"
"46288",19050,768,-0.0884857875596714,59511,0,0.748580141032971,0.854253805540318,21,0.01,0.742753623188406,0.8580375782881,"France"
"46289",19051,769,-0.126046898051388,58835.7142857143,0,0.748584991783823,0.854552903820547,21,0.01,0.742753623188406,0.858333333333333,"France"
"46290",19052,770,-0.119505691422689,56539.1428571429,0,0.748589822427707,0.854850774814903,21,0.01,0.742753623188406,0.858627858627859,"France"
"46291",19053,771,-0.0428367287462615,54222.5714285714,0,0.748594633089383,0.855147426075326,21,0.01,0.742753623188406,0.858921161825726,"France"
"46292",19054,772,-0.0947088368758568,53191.8571428571,0,0.748599423892581,0.85544286509181,21,0.01,0.742753623188406,0.859213250517598,"France"
"46293",19055,773,-0.0901300427211192,53138.2857142857,0,0.748604194960012,0.855737099293043,21,0.01,0.742753623188406,0.859504132231405,"France"
"46294",19056,774,-0.0843477706670231,53146.1428571429,0,0.748608946413378,0.856030136047027,21,0.01,0.742753623188406,0.85979381443299,"France"
"46295",19057,775,-0.0872776046856576,53535.8571428571,0,0.748613678373383,0.856321982661703,21,0.01,0.742753623188406,0.860082304526749,"France"
"46296",19058,776,-0.122215344084549,53615.5714285714,0,0.74861839095974,0.856612646385562,21,0.01,0.742753623188406,0.860369609856263,"France"
"46297",19059,777,-0.0260989027206179,55365.5714285714,0,0.748623084291188,0.856902134408247,21,0.01,0.742753623188406,0.860655737704918,"France"
"46298",19060,778,-0.247446524089115,57077.4285714286,0,0.748627758485493,0.857190453861152,21,0.01,0.742753623188406,0.860940695296524,"France"
"46299",19061,779,-0.109920628968911,59051.7142857143,0,0.748632413659467,0.857477611818011,21,0.01,0.742753623188406,0.861224489795918,"France"
"46300",19062,780,-0.104185972583536,61053.1428571429,0,0.74863704992897,0.857763615295481,21,0.01,0.742753623188406,0.861507128309572,"France"
"46301",19063,781,-0.0799773651018931,53384.8571428571,0,0.748641667408925,0.858048471253718,21,0.01,0.742753623188406,0.861788617886179,"France"
"46302",19064,782,-0.0880113123011228,65418,0,0.748646266213323,0.858332186596945,21,0.01,0.742753623188406,0.862068965517241,"France"
"46303",19065,783,-0.095085824096991,66317.8571428571,0,0.748650846455238,0.858614768174013,21,0.01,0.742753623188406,0.862348178137652,"France"
